-ใส่เข้า	input	๒๖ ม.ค. ๒๕๔๕
-ออกใช้	output	๒๖ ม.ค. ๒๕๔๕
-กล	mechanical	๒๖ ม.ค. ๒๕๔๕
-กล; เครื่องกล; เครื่องจักร	machine	๒๖ ม.ค. ๒๕๔๕
โมเมนต์ความเฉื่อย	moment of inertia	๒๖ ม.ค. ๒๕๔๕
A/F ratio; air-fuel ratio	อัตราส่วนเอ/เอฟ, อัตราส่วนอากาศต่อเชื้อเพลิง	๒๖ ม.ค. ๒๕๔๕
โรเตอร์, ตัวหมุน	rotor	๒๖ ม.ค. ๒๕๔๕
แรงเสียดทาน	friction force	๒๖ ม.ค. ๒๕๔๕
แรงยก	lift	๒๖ ม.ค. ๒๕๔๕
แรงเฉื่อย	inertia force	๒๖ ม.ค. ๒๕๔๕
แรงเฉือนลม	wind shear	๒๖ ม.ค. ๒๕๔๕
แรงต้าน	drag	๒๖ ม.ค. ๒๕๔๕
แรงต้านลม; ความต้านลม	air resistance	๒๖ ม.ค. ๒๕๔๕
แรงผลักดัน	thrust	๒๖ ม.ค. ๒๕๔๕
โรงผลิตกำลัง	power plant	๒๖ ม.ค. ๒๕๔๕
โรงผลิตกำลังด้วยรังสีอาทิตย์	solar power plant	๒๖ ม.ค. ๒๕๔๕
เรดิโอมิเตอร์, มาตรรังสี	radiometer	๒๖ ม.ค. ๒๕๔๕
แมนอมิเตอร์, มาตรความดันของไหล	manometer	๒๖ ม.ค. ๒๕๔๕
เรือนกระจก	greenhouse	๒๖ ม.ค. ๒๕๔๕
absolute pressure	ความดันสัมบูรณ์	๒๖ ม.ค. ๒๕๔๕
absolute zero	ศูนย์สัมบูรณ์	๒๖ ม.ค. ๒๕๔๕
absorber	ตัวดูดกลืน	๒๖ ม.ค. ๒๕๔๕
absorber plate	แผ่นดูดกลืน	๒๖ ม.ค. ๒๕๔๕
absorptance	ความดูดกลืน	๒๖ ม.ค. ๒๕๔๕
absorption	การดูดกลืน	๒๖ ม.ค. ๒๕๔๕
absorbant; absorbent	สารดูดกลืน	๒๖ ม.ค. ๒๕๔๕
acceptance half-angle	ครึ่งมุมรับรังสี	๒๖ ม.ค. ๒๕๔๕
acceleration on ridge	ความเร่ง(ของลม)บนยอดเนิน	๒๖ ม.ค. ๒๕๔๕
accumulator	หม้อสะสมไฟฟ้า	๒๖ ม.ค. ๒๕๔๕
active system	ระบบกัมมันต์	๒๖ ม.ค. ๒๕๔๕
มวลอากาศ; แอร์แมส	air mass	๒๖ ม.ค. ๒๕๔๕
เวลาสุริยะ	solar time	๒๖ ม.ค. ๒๕๔๕
เวนจูริ; คอคอด	venturi	๒๖ ม.ค. ๒๕๔๕
additive	สารเติมแต่ง	๒๖ ม.ค. ๒๕๔๕
adiabatic process	กระบวนการแอเดียแบติก	๒๖ ม.ค. ๒๕๔๕
ระบบมวลสปริง	mass-spring system	๒๖ ม.ค. ๒๕๔๕
