-กัดกร่อน	corrosive	๗ มี.ค. ๒๕๔๕
-ต่อตรง	direct connected	๗ มี.ค. ๒๕๔๕
-ตั้งพื้น	floor mounted	๗ มี.ค. ๒๕๔๕
-ติดกันโดยวิธีกล	mechanically bonded	๗ มี.ค. ๒๕๔๕
-ติดผนัง	wall mounted	๗ มี.ค. ๒๕๔๕
-ติดเพดาน	ceiling mounted	๗ มี.ค. ๒๕๔๕
-ทำงานด้วยลมอัด	air-operated	๗ มี.ค. ๒๕๔๕
-พับไข้วทแยงมุม	cross broken	๗ มี.ค. ๒๕๔๕
โรงทำความเย็น	refrigerating plant	๗ มี.ค. ๒๕๔๕
แมนอมิเตอร์	manometer	๗ มี.ค. ๒๕๔๕
absolute humidity	ความชื้นสัมบูรณ์	๗ มี.ค. ๒๕๔๕
absolute pressure	ความดันสัมบูรณ์	๗ มี.ค. ๒๕๔๕
absolute temperature	อุณหภูมิสัมบูรณ์	๗ มี.ค. ๒๕๔๕
absolute zero	ศูนย์สัมบูรณ์	๗ มี.ค. ๒๕๔๕
absorber	ชุดดูดกลืน	๗ มี.ค. ๒๕๔๕
absorption	การดูดกลืน	๗ มี.ค. ๒๕๔๕
absorbent	ตัวดูดกลืน	๗ มี.ค. ๒๕๔๕
absorption chiller	เครื่องทำน้ำเย็นแบบดูดกลืน	๗ มี.ค. ๒๕๔๕
absorption refrigerator	เครื่องทำความเย็นแบบดูดกลืน	๗ มี.ค. ๒๕๔๕
absorptivity	สภาพดูดกลืน	๗ มี.ค. ๒๕๔๕
access door	ช่องทางเข้า	๗ มี.ค. ๒๕๔๕
accumulator	ถังพัก	๗ มี.ค. ๒๕๔๕
activated alumina	อะลูมินากัมมันต์	๗ มี.ค. ๒๕๔๕
activated carbon	คาร์บอนกัมมันต์	๗ มี.ค. ๒๕๔๕
actual displacement	ปริมาตรกระจัดจริง	๗ มี.ค. ๒๕๔๕
ระยะตก (ของลม)	drop	๗ มี.ค. ๒๕๔๕
ระยะพุ่ง (ของลม)	throw	๗ มี.ค. ๒๕๔๕
adiabatic process	กระบวนการแอเดียแบติก	๗ มี.ค. ๒๕๔๕
adjustable grille	ช่องลมปรับทิศทางได้	๗ มี.ค. ๒๕๔๕
adsorbent	ตัวดูดซับ	๗ มี.ค. ๒๕๔๕
adsorption	การดูดซับ	๗ มี.ค. ๒๕๔๕
ระดับวิสัยสามารถ	capacity step	๗ มี.ค. ๒๕๔๕
ระดับขั้นการอิ่มตัว	degree of saturation	๗ มี.ค. ๒๕๔๕
ระดับความสูง	altitude	๗ มี.ค. ๒๕๔๕
ระบบระเหยสารทำความเย็นโดยตรง	direct expansion system	๗ มี.ค. ๒๕๔๕
ระบบสะสมน้ำเย็น	chilled water storage system	๗ มี.ค. ๒๕๔๕
ระบบสะสมน้ำเกลือแข็ง	salt storage system	๗ มี.ค. ๒๕๔๕
ระบบสะสมน้ำแข็ง	ice storage system	๗ มี.ค. ๒๕๔๕
ระบบสะสมน้ำแข็งในถุงพลาสติก	encapsulated ice storage system	๗ มี.ค. ๒๕๔๕
ระบบสะสมน้ำแข็งแบบเก็บเกี่ยว	ice harvesting storage system	๗ มี.ค. ๒๕๔๕
